Symbol,Vol 3M,VaR95 3M,VaR99 3M,CVaR95 3M,Beta 3M,Corr 3M,Vol 1Y,VaR95 1Y,VaR99 1Y,CVaR95 1Y,Beta 1Y,Corr 1Y,Vol 3Y,VaR95 3Y,VaR99 3Y,CVaR95 3Y,Beta 3Y,Corr 3Y,Vol 5Y,VaR95 5Y,VaR99 5Y,CVaR95 5Y,Beta 5Y,Corr 5Y,Vol Max,VaR95 Max,VaR99 Max,CVaR95 Max,Beta Max,Corr Max
AAPL,0.25771489847352985,-0.019318894432592805,-0.033119277276516854,-0.027879935269868122,1.307344806453311,0.5357095373039669,0.32381060415352514,-0.032070486222268324,-0.049135508550725376,-0.04567276592839706,1.249386523722654,0.7520026458096241,0.2761020818576793,-0.02660519931916125,-0.042398898734852426,-0.03789513163467909,1.2382057728363425,0.7325274404600247,0.2842407536483226,-0.02914407772210075,-0.046534442922236026,-0.03963360346205099,1.2483177409053912,0.755915885343998,0.31844206694380783,-0.030715676909519568,-0.04978328406069853,-0.04464264263237014,1.2105586501877463,0.7855162252466404
MSFT,0.17064172229954738,-0.016199727060415215,-0.023279916235905352,-0.02034893417859318,0.8150903156667997,0.5044280927724168,0.24671318574310058,-0.021630647972643618,-0.03707393223803119,-0.033963991726721016,0.9187067726269049,0.7257686004931316,0.2503052544041459,-0.02344153535130991,-0.0361927149727259,-0.03259343983804665,1.1008648607566318,0.7183974760036936,0.25906864505518734,-0.026297826199575113,-0.041321776130005906,-0.03596981945053217,1.1476386600444366,0.7624739162018149,0.294259053766297,-0.02705846484810487,-0.045264900607782474,-0.041236938875940356,1.149703399856576,0.8073386431102166
GOOGL,0.2758064523699829,-0.01760813782859678,-0.021684480275089648,-0.020175793023789218,1.3331184951573614,0.5104381073663902,0.3230937177573841,-0.029113346830669296,-0.04808868174965669,-0.04455750107865131,1.0192566967338372,0.6148492933036758,0.3135562276957375,-0.027218083536389576,-0.04803642173367622,-0.044213267758544575,1.1932128263845951,0.6215888807736453,0.30975910817231794,-0.02959056862890679,-0.047984161717695754,-0.04332443283763062,1.2467179908907866,0.6927536404732441,0.3207204518930655,-0.03079385001682461,-0.05149133402752606,-0.045995745766211404,1.1326425978654877,0.7297363747139771
SPY,0.10730689243219729,-0.006725585621981301,-0.020432617909799403,-0.014409678950690008,1.0161290322580643,0.9999999999999999,0.19567729566980507,-0.016964749950975605,-0.03667103461312534,-0.028712055973346216,1.0039840637450201,1.0,0.16355943388474464,-0.01483534113509033,-0.024747240105901874,-0.02208772266978647,1.001324503311258,1.0,0.1722580356112481,-0.016758593316606056,-0.029612117779811174,-0.02511231334460078,1.0007942811755357,1.0,0.2067703347242343,-0.018115803280793902,-0.036885020873279085,-0.03128064951775502,1.0006644518272427,1.0
QQQ,0.13761378608040686,-0.011255949536217969,-0.025404677461383144,-0.019889007438642387,1.2347847002785803,0.9475629127856839,0.23607825266404,-0.02424028111955944,-0.04060652029228624,-0.0352760113856037,1.1749371879048132,0.9700012325763725,0.21211901934670543,-0.019828814050617094,-0.03389183402472577,-0.028706003762247283,1.2357446585668719,0.9515900363493777,0.2277311988054139,-0.023845663111732623,-0.038850763349179133,-0.03289647712638896,1.2443347628779102,0.9404795944573721,0.2517976600052532,-0.025335904545498222,-0.04253005674975126,-0.03712627231987054,1.1409352198257239,0.9362871343470831
VTI,0.11040676519476463,-0.006857287631865949,-0.020452629401956343,-0.014563466929228053,1.0392056266187568,0.9939958287271523,0.19542015998244364,-0.017637716179890295,-0.0359440845544933,-0.028711946048811846,1.0004921247929635,0.9978331508754128,0.1656065511989483,-0.015535574834581123,-0.025543318753173543,-0.022493436924367217,1.009749151573165,0.9959481719255265,0.1759885626005176,-0.01709363532443936,-0.030873737757647755,-0.025559716996803504,1.017068217214286,0.9947187727656446,0.2117848714395135,-0.018631235892472148,-0.03687201379669784,-0.03195020721798796,1.0209395061343514,0.9961043455920987
TSLA,0.4742394179830376,-0.044412203263948714,-0.06280582810437124,-0.05703393618770852,2.415487151880647,0.5378805507743772,0.7075587332159402,-0.05669881962442963,-0.0938437090146306,-0.08393752361655676,2.328987586878517,0.641531959098326,0.622610874946445,-0.05659541273174962,-0.09740978126771907,-0.08242438146022645,2.158099046783823,0.5661811753441427,0.6121704588249653,-0.058550245581418164,-0.09252549567331761,-0.08172854556151306,1.9787168841430738,0.5563472768131815,0.6683735861528963,-0.060921374195230554,-0.11359400006211945,-0.08958089017287396,1.69544295941906,0.5241597439902947
NVDA,0.30331680094996094,-0.03274298056934618,-0.04586177139634819,-0.040282664810480096,1.7742150982463267,0.6177155894784603,0.4937628544219704,-0.046070297146063054,-0.08135596318600978,-0.07266187624768175,1.8446011164865856,0.728111131148382,0.5188908928561073,-0.04429752154033506,-0.07084898232889367,-0.06502499630300788,2.107462036311948,0.6634137468421456,0.521849812583419,-0.04929223056472523,-0.07602655188335727,-0.06812175126485573,2.099808694691416,0.6925782890398945,0.5299649117485509,-0.049131129649539695,-0.0778605744349169,-0.07003841212482091,1.7989574015171386,0.7014125333845568
JPM,0.17413641568172786,-0.018731425546943247,-0.026308623502375776,-0.024194156673770728,1.0002236797600235,0.6065774892724559,0.2671063091078877,-0.020469071248451157,-0.043892462274589615,-0.0391067184613748,0.9905644389590706,0.7227901157735133,0.2339620463437532,-0.019340926662919006,-0.0438382453639498,-0.03421221457040714,0.8768254011502891,0.612164958560924,0.25258591358944726,-0.023333245603484355,-0.04179201874831925,-0.03483275828252224,0.8993999002923385,0.6128841408479779,0.3120238085405137,-0.0281897679110312,-0.05156237774396859,-0.044403166555188424,1.0761603660392656,0.712670888163929
BAC,0.2165265179055461,-0.017489081485915835,-0.0344911134486542,-0.027447491520341455,1.0612334150992633,0.5175813064380101,0.28057041236456026,-0.021097763640773808,-0.05042268485560519,-0.04364703961861168,0.9969027086635456,0.692507567967475,0.26467114827986415,-0.024142393694856268,-0.04102360345175628,-0.037493054984035774,0.9884320800370666,0.610015661842306,0.2833368442360402,-0.027510811812458635,-0.040192809502959836,-0.0376607326307964,0.9862630243882649,0.5991345634118369,0.34385393266698244,-0.030895965612962567,-0.057293685940764186,-0.048142879722908274,1.1791605568581132,0.7085960166694081
VEA,0.11701326598455716,-0.008837672332862945,-0.016371619004989818,-0.013750798360173205,0.7919740866335466,0.7147507645748541,0.16187594380060336,-0.012493310733058177,-0.0223654906555785,-0.021308937558399705,0.6432828335694373,0.7745211237550992,0.15256692290717375,-0.014020901126006985,-0.02129007022360161,-0.019422243343594256,0.7370655902260158,0.7891262757066151,0.16199294683406548,-0.015717550620658778,-0.025863536736115092,-0.02198330049200092,0.7691090808955661,0.8171965201786451,0.19412809228872369,-0.016739552222524934,-0.030714213019669256,-0.02792874530038624,0.8141117842753314,0.866553565120463
VWO,0.13681107040949306,-0.008668388383296787,-0.020676710243991425,-0.016239263534252396,0.8892280457938191,0.6863895594688819,0.1716456807208559,-0.015683893297278238,-0.030357670968060732,-0.024966224314972384,0.6067285930219786,0.6889301655291784,0.16192895138353952,-0.0154537215674736,-0.022770602657306245,-0.02160653703849334,0.6297103374116839,0.6352096308869157,0.1751667256196384,-0.017562353748521033,-0.02737573250199034,-0.023834204836235284,0.6699191317689827,0.6582720935033234,0.20664754071394292,-0.018368634393736344,-0.033632314172595545,-0.029473349901994864,0.7467973996442987,0.7467449851950854
JNJ,0.13327963220173888,-0.0108720188055067,-0.01586024344886622,-0.013954680849513568,0.009393936720299565,0.007443249944457507,0.19280241624980513,-0.016700251671717174,-0.03193094183073673,-0.026361680763774542,0.06051665788346554,0.06117529630243127,0.1707018177412396,-0.015484400263445136,-0.02755197901290295,-0.02350431948383392,0.14311454889526867,0.13694506769409234,0.1682060854494908,-0.01597818354120789,-0.02669029425123855,-0.023249405240157433,0.23707432767049924,0.24259257203194418,0.19581925893706364,-0.016880101129498337,-0.03327196906996938,-0.02749451719257792,0.42881773756214564,0.45249845149922685
PFE,0.31259903169944375,-0.02798005894704971,-0.03642613785754071,-0.033972997740262245,0.1842176856733696,0.06223324569212655,0.26373241791310176,-0.025208589879759782,-0.04073169084367489,-0.036742334682200145,0.43887007447327947,0.3243292144893511,0.2448414975747042,-0.02294513964355302,-0.04042195202648251,-0.03371930265244124,0.43052394244268277,0.2872189142995437,0.25752609512443436,-0.02344159634826436,-0.04027426049055092,-0.033867718874195145,0.4125921985826284,0.2757620154865548,0.270666609108051,-0.023923715788110755,-0.046107264609520755,-0.03691792208729351,0.5339058003244853,0.4075958145335352
KO,0.13160306522600293,-0.01238813421869428,-0.01618273587584119,-0.01453726643101555,-0.41998344685917555,-0.33701165995696286,0.17067257591513,-0.015340415207102592,-0.024575391201545737,-0.021994814054701203,0.06366339270749723,0.07270087771943692,0.14886994546670165,-0.013895894872133718,-0.02085987935288987,-0.019322286643646446,0.2207275014278253,0.24218663484314668,0.16197228120341506,-0.015483811862288921,-0.02643397760052019,-0.022778668289571015,0.3494048268456828,0.3712982281419268,0.201570076154345,-0.017118275834683727,-0.03788198204659297,-0.030395371418280442,0.5505001659880069,0.5643274207719466
PG,0.15293615376284025,-0.01587024389151892,-0.020851262260549532,-0.01937659523918636,-0.1572383551495189,-0.1085743120779886,0.185560172360057,-0.019672115895413365,-0.03282237989035105,-0.028712927248270997,0.16082741483179705,0.1689230569635357,0.16327857958629216,-0.015536977988727219,-0.027434975013561635,-0.023981080241189584,0.24231944692159327,0.24241517913421856,0.17222566481059257,-0.017181007463988908,-0.02898048752463802,-0.025967391449551316,0.3308624521486361,0.33066200103966314,0.20552467272657515,-0.01776878377983873,-0.039542433390975476,-0.031052462438422756,0.4988705300205571,0.5015608653354493
PORTFOLIO,0.11097248762013144,-0.006342548174127343,-0.02005922617068829,-0.013926197484263967,1.0303538175274625,0.9805050190294402,0.20018705413002152,-0.01637277608396211,-0.03601760983944139,-0.029158320762970417,1.0176074425916286,0.9907359092060974,,,,,,,,,,,,,0.15851324727439653,-0.014442766978226617,-0.025676256162745055,-0.02184569340157467,1.0003807441274088,0.981785533168366
